applicants_organisations_only, applicants_useme, cited_count, cpc_codes_useme, dois, extended_family_size, inventors_useme, ipc_codes, ipc_short, ipc_subclass, non_patent_citations, priority_country_codes, priority_country_name, priority_date, priority_numbers, priority_year, publication_country_code, publication_country_name, publication_date, publication_number, publication_year, simple_family_size, title, title_phrases, url
"DIEHL GMBH & CO","DIEHL GMBH & CO","4","F42C15/295","","7","SIEBERT RAINER","F42C15/295","Weapons","F42C: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Ammunition; Blasting -> Ammunition Fuzes; Arming Or Safety Means Therefor","","DE","Germany","19881011","DE 3834556 A","1988","US","United States of America","1990-11-13","US 4969396 A","1990","7","Arming Arrangement With Rotatable Airfoils","arming Arrangement; Rotatable Airfoils","https://lens.org/044-959-806-926-328"
"US NAVY","US NAVY","22","B63G8/001; G01S7/521; G10K11/006; G10K2210/127","","1","KARIG HORACE E; LANG THOMAS G; YERBY HENRY T","B63B21/66; B63G8/00; G01S7/521; G10K11/00","Direction Finding; Musical Instruments; Waterborne Vessels/Ships","B63B: Performing Operations; Transporting -> Ships Or Other Waterborne Vessels; Related Equipment -> Ships Or Other Waterborne Vessels; Equipment For Shipping; B63G: Performing Operations; Transporting -> Ships Or Other Waterborne Vessels; Related Equipment -> Offensive Or Defensive Arrangements On Vessels; Mine-Laying; Mine-Sweeping; Submarines; Aircraft Carriers; G01S: Physics -> Measuring; Testing -> Radio Direction-Finding; Radio Navigation; Determining Distance Or Velocity By Use Of Radio Waves; Locating Or Presence-Detecting By Use Of The Reflection Or Reradiation Of Radio Waves; Analogous Arrangements Using Other Waves; G10K: Physics -> Musical Instruments; Acoustics -> Sound-Producing Devices;  Methods Or Devices For Protecting Against, Or For Damping, Noise Or Other Acoustic Waves In General; Acoustics Not Otherwise Provided For","","US","United States of America","19660728","US 56956066 A","1966","US","United States of America","1991-2-12","US 4992999 A","1991","1","Submarine Drone For Carrying A Barrel Stave-type Transducer Array","Barrel Stave-type Transducer Array; submarine Drone","https://lens.org/038-621-493-771-517"
"BOSE CORP","BOSE CORP","62","H04R1/2834; H04R1/2842","","2","FROESCHLE THOMAS A","H04R1/28","Loudspeakers/Microphones","H04R: Electricity -> Electric Communication Technique -> Loudspeakers, Microphones, Gramophone Pick-Ups Or Like Acoustic Electromechanical Transducers; Deaf-Aid Sets; Public Address Systems","Teledyne Acoustic Research, STC 660 Subwoofer Satellite System, copyright 1988","US","United States of America","19890714","US 37988689 A","1989","US","United States of America","1991-6-25","US 5025885 A","1991","2","Multiple Chamber Loudspeaker System","multiple Chamber Loudspeaker System","https://lens.org/088-800-904-558-233"
"BOSE CORP","BOSE CORP","10","H04R1/2834; H04R1/2842; H04R5/02","","4","VERANTH JOSEPH L","H04R1/28; H04R5/02; H04S1/00; H04S3/00; H04S7/00","Loudspeakers/Microphones","H04R: Electricity -> Electric Communication Technique -> Loudspeakers, Microphones, Gramophone Pick-Ups Or Like Acoustic Electromechanical Transducers; Deaf-Aid Sets; Public Address Systems; H04S: Electricity -> Electric Communication Technique -> Stereophonic Systems","","US","United States of America","19881206","US 28070788 A","1988","US","United States of America","1991-7-23","US 5033577 A","1991","4","Room Sound Reproducing","room Sound","https://lens.org/189-927-813-957-001"
"RHEINMETALL GMBH","RHEINMETALL GMBH","12","B63G7/02","","6","BACKSTEIN, GUENTER","B63G7/02","Waterborne Vessels/Ships","B63G: Performing Operations; Transporting -> Ships Or Other Waterborne Vessels; Related Equipment -> Offensive Or Defensive Arrangements On Vessels; Mine-Laying; Mine-Sweeping; Submarines; Aircraft Carriers","W. Flume, Minenbek mpfung , Wehrtechnik, 1983, No. 10, pp. 66 67","DE","Germany","19890512","DE 3915577 A","1989","US","United States of America","1991-8-27","US 5042387 A","1991","6","Apparatus For Destroying A Moored Mine","Apparatus","https://lens.org/180-065-144-025-210"
"ZAHNRADFABRIK FRIEDRICHSHAFEN","ZAHNRADFABRIK FRIEDRICHSHAFEN","40","F16D2500/30417; F16D2500/30428; F16D2500/3064; F16D2500/30803; F16D2500/70436; F16D2500/70442; F16D2500/70615; F16D48/064; F16D48/066; F16H2061/145; F16H61/143; Y10T477/75; Y10T477/755","","8","GRUHLE WOLF-DIETER; MAIER WOLFGANG; ROWE GERALD; THOMAS CHRISTIAN","F16D48/02; F16D48/06; F16H61/14","Engineering Elements or Units","F16D: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Engineering Elements Or Units; General Measures For Producing And Maintaining Effective Functioning Of Machines Or Installations; Thermal Insulation In General -> Couplings For Transmitting Rotation; Clutches; Brakes; F16H: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Engineering Elements Or Units; General Measures For Producing And Maintaining Effective Functioning Of Machines Or Installations; Thermal Insulation In General -> Gearing","","DE","Germany","19881117","DE 3838908 A","1988","US","United States of America","1993-3-2","US 5190130 A","1993","6","Process For Regulating A Clutch","Clutch; Process","https://lens.org/088-405-767-357-514"
"US NAVY","US NAVY","121","B64C13/20; G05D1/0038","","1","EIBAND DAVID M; KERN LYNN R","B64C13/20; G05D1/00","Aircraft; Control Systems","B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters; G05D: Physics -> Controlling; Regulating -> Systems For Controlling Or Regulating Non-Electric Variables","","US","United States of America","19920803","US 92386792 A","1992","US","United States of America","1993-8-31","US 5240207 A","1993","1","Generic Drone Control System","generic Drone Control System","https://lens.org/170-600-938-187-632"
"MOTOROLA INC","MOTOROLA INC","15","G01S13/87; G01S7/003; G01S7/02; G01S7/023","","1","GROVER RICHARD K; KINGSBURY KEITH M","G01S13/02; G01S13/87; G01S7/00; G01S7/02","Direction Finding","G01S: Physics -> Measuring; Testing -> Radio Direction-Finding; Radio Navigation; Determining Distance Or Velocity By Use Of Radio Waves; Locating Or Presence-Detecting By Use Of The Reflection Or Reradiation Of Radio Waves; Analogous Arrangements Using Other Waves","","US","United States of America","19921127","US 98252892 A","1992","US","United States of America","1994-5-31","US 5317320 A","1994","1","Multiple Radar Interference Suppressor","multiple Radar Interference Suppressor","https://lens.org/158-183-470-579-948"
"HONEYWELL INC","HONEYWELL INC","77","G05D1/0027","","1","BURDOIN ROBERT B; MOOLENIJZER NICOLAAS J; STROHACKER FRED M","G05D1/10","Control Systems","G05D: Physics -> Controlling; Regulating -> Systems For Controlling Or Regulating Non-Electric Variables","","US","United States of America","19940808","US 28799394 A","1994","US","United States of America","1996-5-28","US 5521817 A","1996","1","Airborne Drone Formation Control System","airborne Drone Formation Control System","https://lens.org/020-926-965-964-522"
"FORD GLOBAL TECH INC","FORD GLOBAL TECH INC","6","B60N2/366; B62D25/00","","7","MATHEIS ANTON","B60N2/36; B62D25/00","Land Vehicles; Vehicles","B60N: Performing Operations; Transporting -> Vehicles In General -> Vehicle Passenger Accommodation Not Otherwise Provided For; B62D: Performing Operations; Transporting -> Land Vehicles For Travelling Otherwise Than On Rails -> Motor Vehicles; Trailers","","DE","Germany","19951027","DE 19540048 A","1995","US","United States of America","1998-6-2","US 5758919 A","1998","6","Motor Vehicle","Motor Vehicle","https://lens.org/055-276-123-669-138"
"LEMELSON MEDICAL EDUCATION & R","LEMELSON MEDICAL EDUCATION & R","91","G06Q10/06; G08B17/005; G08B17/125; Y10S706/90; Y10S706/913","10.1109/6.222222; 10.1109/6.222224; 10.1109/6.222227; 10.1109/6.222230","4","LEMELSON JEROME H; PEDERSEN ROBERT D","G06Q10/06; G08B17/12","Computing; Signalling","G06Q: Physics -> Computing; Calculating; Counting -> Data Processing Systems Or Methods, Specially Adapted For Administrative, Commercial, Financial, Managerial, Supervisory Or Forecasting Purposes; Systems Or Methods Specially Adapted For Administrative, Commercial, Financial, Managerial, Supervisory Or Forecasting Purposes, Not Otherwise Provided For; G08B: Physics -> Signalling -> Signalling Or Calling Systems; Order Telegraphs; Alarm Systems","Carpenter, G.A. and Grossberg, S., Neural Networks for Vision and Image Processing, MIT Press, Cambridge, Massachusetts, 1992, at pp. 54 & 230; Clarke, Bill. Aviator s Guide to GPS, TAB Books, pp. 54 & 230, 1994; Gershon, N. and Miller, C., Dealing with the Data Deluge , IEEE Spectrum, Jul. 1993 at pp. 28 32; Hammerstrom, D., Working with Neural Networks , IEEE Spectrum, Jul. 1993, at pp. 46 53; Hice, C. & Young, D. Real Time Image Analysis and Visualization From Remote Video for Fire and Resource Management, Advanced Imagery, pp. 30 32, May 1995; Hice, C. & Young, D., Real Time Image Analysis and Visualization From Remote Video For Fire And Resource Management, Advance Imagery, May 1995, at pp. 30 32; McNeill, Daniel, Fuzzy Logic, Simon & Shuster, New York (1993) at pp. 268 & 310, ISBN 0 671 73843 7; McNeill, Daniel. Fuzzy Logic, Simon & Schuster, New York, pp. 268 310, 1993; Perry, T., Modeling the World s Climate , IEEE Spectrum, Jul. 1993, at pp. 33 42; Smith, James M. Forest Service collects weather data where the fires are. Government Computer News, vol. 13, No. 3, p. 50, Feb. 7, 1994; Zorpette, G. Sensing Climate Change, IEEE Spectrum, pp. 20 27, Jul. 1993; Zorpette, G., Sensing Climate Change , IEEE Spectrum, Jul. 1993, at pp. 20 27","US","United States of America","19951103","US 55281095 A","1995","US","United States of America","1998-11-3","US 5832187 A","1998","4","Fire Detection Systems And Methods","fire Detection Systems; methods","https://lens.org/013-124-917-748-261"
"UNIV KANSAS STATE","UNIV KANSAS STATE","83","B25J5/007; F16L55/28","","2","DEVAULT JAMES E; HOSSAIN MUSTAQUE; HUDSON WILLIAM B","B25J5/00; F16L55/28","Engineering Elements or Units; Tools","B25J: Performing Operations; Transporting -> Hand Tools; Portable Power-Driven Tools; Handles For Hand Implements; Workshop Equipment; Manipulators -> Manipulators; Chambers Provided With Manipulation Devices; F16L: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Engineering Elements Or Units; General Measures For Producing And Maintaining Effective Functioning Of Machines Or Installations; Thermal Insulation In General -> Pipes; Joints Or Fittings For Pipes; Supports For Pipes, Cables Or Protective Tubing; Means For Thermal Insulation In General","","US","United States of America","19970605","US 86949797 A","1997","US","United States of America","1999-1-12","US 5857534 A","1999","2","Robotic Inspection Apparatus And Method","method; robotic Inspection Apparatus","https://lens.org/094-823-057-196-057"
"CROWN INT","CROWN INT","18","G05B19/0421; G05B2219/2225; G05B2219/25431","","1","BARCLAY JR CLAYTON C","G05B19/042","Control Systems","G05B: Physics -> Controlling; Regulating -> Control Or Regulating Systems In General; Functional Elements Of Such Systems; Monitoring Or Testing Arrangements For Such Systems Or Elements","Crown Advertisement on Signs of Artificial Intelligent Life; Crown Advertisement on Smart Amp , dated 1993; Crown Brochure, IQ System 2000 dated 1988","US","United States of America","19941011","US 32120894 A","1994","US","United States of America","1999-1-19","US 5862401 A","1999","1","Programmable Central Intelligence Controller And Distributed Intelligence Network For Analog/digital Control Systems","Analog/digital Control Systems; Distributed Intelligence Network; programmable Central Intelligence Controller","https://lens.org/068-781-782-347-983"
"WYGENT","MARK A; WYGENT","3","G10D7/063; G10D9/023","","13","WYGENT MARK A","G10D7/06; G10D9/02","Musical Instruments","G10D: Physics -> Musical Instruments; Acoustics -> Stringed Musical Instruments; Wind Musical Instruments; Accordions Or Concertinas; Percussion Musical Instruments; Musical Instruments Not Otherwise Provided For","","US","United States of America","19980922","US 15855898 A","1998","US","United States of America","1999-9-28","US 5959226 A","1999","10","Bagpipe Reed","bagpipe Reed","https://lens.org/012-667-541-207-858"
"DAMM","DAMM; EDWARD A","11","G10D7/063","","1","DAMM EDWARD A","G10D7/06","Musical Instruments","G10D: Physics -> Musical Instruments; Acoustics -> Stringed Musical Instruments; Wind Musical Instruments; Accordions Or Concertinas; Percussion Musical Instruments; Musical Instruments Not Otherwise Provided For","Baines, A.: Woodwind Instruments and their History., (2nd edition), William Clowes and Sons, LTD, London, 1962, p. 200; Dearling, R. (ed): The Illustrated Encyclopedia of Musical Instruments. Carlton Books LTD, Dubai, 1996, pp. 185 and 187; Encyclopedia Britannica, (15th edition), Encyclopedia Britannica, Inc., 1994, p. 795","US","United States of America","19981208","US 20730898 A","1998","US","United States of America","2000-2-29","US 6031168 A","2000","1","Practice Bagpipe Chanter","practice Bagpipe Chanter","https://lens.org/181-261-924-860-318"
"RHEINMETALL GMBH","RHEINMETALL GMBH","33","F41G3/142","","8","WEBER ADOLF","F41G3/14; G01S19/53","Direction Finding; Weapons","F41G: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Weapons -> Weapon Sights; Aiming; G01S: Physics -> Measuring; Testing -> Radio Direction-Finding; Radio Navigation; Determining Distance Or Velocity By Use Of Radio Waves; Locating Or Presence-Detecting By Use Of The Reflection Or Reradiation Of Radio Waves; Analogous Arrangements Using Other Waves","","DE","Germany","19970505","DE 19718947 A","1997","US","United States of America","2000-3-14","US 6037899 A","2000","8","Method For Vectoring Active Or Combat Projectiles Over A Defined Operative Range Using A Gps-supported Pilot Projectile","Combat Projectiles; Defined Operative Range; Gps-supported Pilot Projectile; method; Vectoring Active","https://lens.org/120-050-270-879-710"
"US NAVY","US NAVY","31","B64D1/02; F42B15/22; F42B19/01","","2","GARCIA FELIPE A; WOODALL JR ROBERT C","B64D1/02; F42B19/01","Aircraft; Weapons","B64D: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Equipment For Fitting In Or To Aircraft; Flying Suits; Parachutes; Arrangements Or Mounting Of Power Plants Or Propulsion Transmissions In Aircraft; F42B: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Ammunition; Blasting -> Explosive Charges, E.G. For Blasting; Fireworks; Ammunition","","US","United States of America","19980817","US 13787498 A","1998","US","United States of America","2000-7-4","US 6082675 A","2000","1","Standoff Delivered Sonobuoy","Sonobuoy; standoff","https://lens.org/115-899-291-443-969"
"LEMELSON; PEDERSEN","JEROME H; LEMELSON; PEDERSEN; ROBERT D","436","G01S19/17; G08B15/004; G08B21/10; G08G1/164","10.1007/978-1-4615-3104-3_2; 10.1007/978-3-322-86812-1_4; 10.1017/s001675680001459x; 10.1038/SCIENTIFICAMERICAN0793-76; 10.1061/(asce)0733-9453(2005)131:4(144; 10.1109/5.364485; 10.1109/5.364486; 10.1109/6.144509","2","LEMELSON JEROME H; PEDERSEN ROBERT D","G01S19/48; G08B21/10","Direction Finding; Signalling","G01S: Physics -> Measuring; Testing -> Radio Direction-Finding; Radio Navigation; Determining Distance Or Velocity By Use Of Radio Waves; Locating Or Presence-Detecting By Use Of The Reflection Or Reradiation Of Radio Waves; Analogous Arrangements Using Other Waves; G08B: Physics -> Signalling -> Signalling Or Calling Systems; Order Telegraphs; Alarm Systems","Bezdek, Jim, Editorial: Fuzzy Model What Are They, and Why , Applications of Fuzzy Logic Technology , SPIE No. 2061m Boston, Mass., Sep. 8 10, 1993; Brubaker, David, Fuzzy Operators, EDN , pp. 239 241, Nov. 9, 1995., Oct., 1992; Cox, Earl, Fuzzy Fundamentals, IEEE Spectrum , pp. 76 81, Oct. 1992; Gottwald, Siegfried, Fuzzy Sets and Fuzzy Logic: The Foundations of Application from a Mathematical Point of View , pp. 133 168, Jan. 1993; Hurn, Jeff, Differential GPS Explained , Trimble Navigation, Ltd., pp. 7 12, Jan. 1993; Hurn, Jeff, GPS A Guide to the Next Utility , Trimble Navigation, Ltd., pp. 7 12, Jan. 1989; Jang, and Chuen Tsai, Neuro Fuzzy Modeling and Control, Proceedings of the IEEE , vol. 83, No. 3, pp. 378 406, Mar. 1995; Kosko, and Isaka, Fuzzy Logic, Scientific American , pp. 76 81, Jul. 1993; Leick, Alfred, GPS Satellite Surveying , John Wiley & Sons, pp. 58 92, New York, Jan. 1990; Logsdon, Tom, The Navstar Global Positioning System , Van Nostrand Reinhold, pp. 17 33, New York Jan. 1992; McNeil, Daniel, Fuzzy Logic , Simon & Schuster, pp. 101 126, New York Jan. 1993; Mendel, Jerry M., Fuzzy Logic Systems for Engineering: A Tutorial, Proceedings of the IEEE , vol. 83, No. 3, pp. 345 377, Mar. 1995; Schwartz, Klir, Fuzzy Logic Flowers in Japan, IEEE Spectrum , pp. 32 35, Jul. 1992; Timely Warning , Popular Science , by Stuart Brown, p. 96 Apr. 1997","US","United States of America","19970418","US 84402997 A","1997","US","United States of America","2000-7-4","US 6084510 A","2000","2","Danger Warning And Emergency Response System And Method","danger Warning; Emergency Response System; method","https://lens.org/146-378-092-244-730"
"DESCATHA; MICHEL HENRI","DESCATHA; MICHEL HENRI","13","B64C3/385; B64C3/50; B64C35/00; B64C39/08; B64C39/12; Y02T50/145","","1","DESCATHA MICHEL HENRI","B64C3/38; B64C3/50; B64C35/00; B64C39/08; B64C39/12","Aircraft","B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters","Flaring High , Motor Boating & Sailing, May 1991, pp. 65 67,95; Flying on Water , Popular Science, Jan. 1997, pp. 50 54; License to Fly , Popular Mechanics, Jul. 1989, pp. 57,59,124,125; Low Budget Homebuilt Ultralight , advertisement & Plans, Popular Science, date unknown; The Boat That Flies , Popular Science, Apr. 1992, pp. 57 59; The Flying Ladder , disclosure by inventor, date unknown; Ultralight Flea (Nedo Lavorini), Kitplanes, Jan. 1990; Welcome to the Wig Page , http://www.io.tudelft.nl/ edwin/html30/welcome.html, Feb. 1998; When Ships Have Wings , Air & Space, Dec. 1995/Jan. 1996, pp. 52 59; Wingships , Popular Mechanics, May 1992, pp. 35 38","US","United States of America","19970725; 19970910; 19980723","US 12105698 A; US 5386697 P; US 5843197 P","1997; 1998","US","United States of America","2000-12-26","US 6164591 A","2000","1","Ground-effect Flying Boats Also Applicable To Aircraft, Drones, And Spacecraft","aircraft; Drones; ground-effect Flying Boats; Spacecraft","https://lens.org/041-532-198-800-964"
"","CHURCH KENNETH H; TAYLOR ROBERT M","12","G01N21/31; G02B2006/1215; G02B6/12004; G02B6/125","","2","CHURCH KENNETH H; TAYLOR ROBERT M","G01N21/31; G02B6/12; G02B6/125; G02B6/34","Measuring; Optics","G01N: Physics -> Measuring; Testing -> Investigating Or Analysing Materials By Determining Their Chemical Or Physical Properties; G02B: Physics -> Optics -> Optical Elements, Systems, Or Apparatus","","US","United States of America","19991203; 20001204","US 16863799 P; US 72769100 A","1999; 2000","US","United States of America","2001-10-11","US 2001/0028032 A1","2001","2","Biosensor","biosensor","https://lens.org/083-946-446-460-350"
"","MCLEAN IAN R; MCWILLIAM RICHARD D","1","G10K11/1788; G10K2210/128; G10K2210/3212; H04R1/2834","","7","MCLEAN IAN R; MCWILLIAM RICHARD D","G10K11/178; H04R1/28","Loudspeakers/Microphones; Musical Instruments","G10K: Physics -> Musical Instruments; Acoustics -> Sound-Producing Devices;  Methods Or Devices For Protecting Against, Or For Damping, Noise Or Other Acoustic Waves In General; Acoustics Not Otherwise Provided For; H04R: Electricity -> Electric Communication Technique -> Loudspeakers, Microphones, Gramophone Pick-Ups Or Like Acoustic Electromechanical Transducers; Deaf-Aid Sets; Public Address Systems","","US","United States of America","20000606; 20010516","US 20975300 P; US 85841401 A","2000; 2001","US","United States of America","2001-12-6","US 2001/0047903 A1","2001","2","Active Dipole Inlet Using Drone Speaker Driver","active Dipole Inlet; Drone Speaker Driver","https://lens.org/101-084-983-895-135"
"","HILLIARD DONALD PATRICK; HILLIARD MICHAEL PATRICK","18","B64D17/025; B64D17/34; G05D1/105","","2","HILLIARD DONALD PATRICK; HILLIARD MICHAEL PATRICK","B64D17/02; B64D17/34","Aircraft","B64D: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Equipment For Fitting In Or To Aircraft; Flying Suits; Parachutes; Arrangements Or Mounting Of Power Plants Or Propulsion Transmissions In Aircraft","","US","United States of America","20001212","US 73672200 A","2000","US","United States of America","2002-6-13","US 2002/0070315 A1","2002","2","Precision Parachute Recovery System","precision Parachute Recovery System","https://lens.org/104-503-539-616-649"
"","STRICKLAND THEODORE R","0","F41J2/02; F41J9/08","","14","STRICKLAND THEODORE R","F41J2/02; F41J9/08","Weapons","F41J: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Weapons -> Targets; Target Ranges; Bullet Catchers","","US","United States of America","20001215","US 73882300 A","2000","US","United States of America","2002-6-20","US 2002/0074488 A1","2002","14","Ir Source, Method And Apparatus","Apparatus; ir Source; method","https://lens.org/086-516-369-532-11X"
"","BRENNAN MICHAEL","4","B29C33/444; B29C39/028; B29C39/26; B29C39/36; B29K2075/00; B29L2031/758; B29L2031/7724; G10D7/00; G10D7/06","","1","BRENNAN MICHAEL","B29C33/44; B29C39/02; B29C39/26; B29C39/36; G10D7/00; G10D7/06","Musical Instruments; Working Plastics","B29C: Performing Operations; Transporting -> Working Of Plastics; Working Of Substances In A Plastic State In General -> Shaping Or Joining Of Plastics; Shaping Of Substances In A Plastic State, In General; After-Treatment Of The Shaped Products, E.G. Repairing; G10D: Physics -> Musical Instruments; Acoustics -> Stringed Musical Instruments; Wind Musical Instruments; Accordions Or Concertinas; Percussion Musical Instruments; Musical Instruments Not Otherwise Provided For","","US","United States of America","20010718","US 90853601 A","2001","US","United States of America","2003-1-23","US 2003/0015082 A1","2003","1","Method And Article For Creating Musical Instruments Via Plastic Molding Technique","Article; method; Musical Instruments Via Plastic Molding Technique","https://lens.org/056-093-657-588-118"
"IBM","IBM","23","H04L63/0209; H04L63/1416; H04L63/1425; H04L63/1458","","2","LINGAFELT CHARLES STEVEN; YELL NIGEL BIRKBECK","H04L29/06","Electric Communication/Television","H04L: Electricity -> Electric Communication Technique -> Transmission Of Digital Information, E.G. Telegraphic Communication","","US","United States of America","20011031","US 276401 A","2001","US","United States of America","2003-5-1","US 2003/0084327 A1","2003","2","System And Method For Detecting And Controlling A Drone Implanted In A Network Attached Device Such As A Computer","Computer; Drone; method; Network Attached Device; system","https://lens.org/148-295-710-439-498"
"","GJERDRUM DAVID MICHAEL","71","B64D39/00","","1","GJERDRUM DAVID MICHAEL","B64D39/00","Aircraft","B64D: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Equipment For Fitting In Or To Aircraft; Flying Suits; Parachutes; Arrangements Or Mounting Of Power Plants Or Propulsion Transmissions In Aircraft","","US","United States of America","20011210; 20021210","US 31662302 A; US 33774301 P","2001; 2002","US","United States of America","2003-7-24","US 2003/0136874 A1","2003","1","Method For Safer Mid-air Refueling","method; Safer Mid-air","https://lens.org/130-748-838-832-251"
"","FAIRWEATHER JOHN","31","G06F8/427; G06F9/4435; G06K13/0825; Y10S707/913; Y10S707/966; Y10S707/99931; Y10S707/99933; Y10S707/99942","","57","FAIRWEATHER JOHN","G06F; G06F12/00; G06F12/06; G06F13/00; G06F15/16; G06F15/173; G06F17/00; G06F17/21; G06F17/27; G06F17/28; G06F17/30; G06F7/00; G06F9/00; G06F9/44; G06F9/45; G06K9/72; G06N5/00; G06N5/02; H04L","Computing; Electric Communication/Television","G06F: Physics -> Computing; Calculating; Counting -> Electric Digital Data Processing; G06K: Physics -> Computing; Calculating; Counting -> Recognition Of Data; Presentation Of Data; Record Carriers; Handling Record Carriers; G06N: Physics -> Computing; Calculating; Counting -> Computer Systems Based On Specific Computational Models; H04L: Electricity -> Electric Communication Technique -> Transmission Of Digital Information, E.G. Telegraphic Communication","","US","United States of America","20020201","US 35348702 P","2002","US","United States of America","2003-10-9","US 2003/0191752 A1","2003","57","System And Method For Creating A Distributed Network Architecture","Distributed Network Architecture; method; system","https://lens.org/162-069-290-830-141"
"","GANT ARLIN W; HARDING WILLIAM V; ZIMMERER DOUGLAS R","4","G01S13/723; G01S7/22; G05D1/12","","2","GANT ARLIN W; HARDING WILLIAM V; ZIMMERER DOUGLAS R","G01S13/72; G01S7/22","Direction Finding","G01S: Physics -> Measuring; Testing -> Radio Direction-Finding; Radio Navigation; Determining Distance Or Velocity By Use Of Radio Waves; Locating Or Presence-Detecting By Use Of The Reflection Or Reradiation Of Radio Waves; Analogous Arrangements Using Other Waves","","US","United States of America","20010502","US 84722501 A","2001","US","United States of America","2003-11-13","US 2003/0209631 A1","2003","2","Autonomous Mission Profile Planning","autonomous Mission Profile Planning","https://lens.org/122-812-525-859-529"
"","CRAIMER STEPHEN G","0","G06F17/5022","","3","CRAIMER STEPHEN G","G06F; G06F17/50; G06F9/455; H03K19/00","Computing; Electronic Circuitry","G06F: Physics -> Computing; Calculating; Counting -> Electric Digital Data Processing; H03K: Electricity -> Basic Electronic Circuitry -> Pulse Technique","","US","United States of America","20030211","US 36513903 A","2003","US","United States of America","2003-11-20","US 2003/0214326 A1","2003","3","Distributed Dynamically Optimizable Processing Communications And Storage System","Optimizable Processing Communications; Storage System","https://lens.org/099-618-931-977-917"
"","HARDING WILLIAM V","25","G01S13/723; G01S7/22; G05D1/12","","2","HARDING WILLIAM V","G01S13/72; G01S7/22","Direction Finding","G01S: Physics -> Measuring; Testing -> Radio Direction-Finding; Radio Navigation; Determining Distance Or Velocity By Use Of Radio Waves; Locating Or Presence-Detecting By Use Of The Reflection Or Reradiation Of Radio Waves; Analogous Arrangements Using Other Waves","","US","United States of America","20010502","US 84722401 A","2001","US","United States of America","2003-11-20","US 2003/0213358 A1","2003","2","Autonomous Mission Profile Planning","autonomous Mission Profile Planning","https://lens.org/025-399-449-992-789"
"","ARMS STEVEN WILLARD; HAMEL MICHAIL JOHN; TOWNSEND CHRISTOPHER PRUYN","85","H02J13/0075; H02J17/00; H02J7/025; Y02B90/2653; Y02E60/7853; Y04S40/126","","4","ARMS STEVEN WILLARD; HAMEL MICHAIL JOHN; TOWNSEND CHRISTOPHER PRUYN","G06F19/00; G08C19/16","Computing; Signalling","G06F: Physics -> Computing; Calculating; Counting -> Electric Digital Data Processing; G08C: Physics -> Signalling -> Transmission Systems For Measured Values, Control Or Similar Signals","","US","United States of America","20030305","US 37922403 A","2003","US","United States of America","2003-12-25","US 2003/0234730 A1","2003","4","Robotic System For Powering And Interrogating Sensors","robotic System; Sensors","https://lens.org/072-862-756-718-401"
"","SOLOMON NEAL","57","B64C39/024; F41H13/00; G05D1/0088; H04B7/18517; H04L67/12","","32","SOLOMON NEAL","B64C39/02; F41H13/00; G05D1/02; G05D1/10; G06F19/00","Aircraft; Computing; Control Systems; Weapons","B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters; F41H: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Weapons -> Armour; Armoured Turrets; Armoured Or Armed Vehicles; Means Of Attack Or Defence, E.G. Camouflage, In General; G05D: Physics -> Controlling; Regulating -> Systems For Controlling Or Regulating Non-Electric Variables; G06F: Physics -> Computing; Calculating; Counting -> Electric Digital Data Processing","","US","United States of America","20020422; 20020821","US 37442102 P; US 40494502 P; US 40494602 P","2002","US","United States of America","2004-2-12","US 2004/0030451 A1","2004","14","Methods And Apparatus For Decision Making Of System Of Mobile Robotic Vehicles","Apparatus; Decision Making; methods; Mobile Robotic Vehicles; system","https://lens.org/111-477-198-983-914"
"","SOLOMON NEAL","53","F41G3/04; G05D1/0088; G05D1/0295; G05D1/104; G05D2201/0209","","32","SOLOMON NEAL","","","","","US","United States of America","20020422; 20020821; 20030422","US 37442102 P; US 40494502 P; US 40495602 P; US 42146403 A","2002; 2003","US","United States of America","2004-2-12","US 2004/0030570 A1","2004","1","System, Methods And Apparatus For Leader-follower Model Of Mobile Robotic System Aggregation","Apparatus; Leader-follower Model; methods; Mobile Robotic System Aggregation; system","https://lens.org/176-810-537-783-840"
